M,K,P,T_seq,T_par
100,100,1,.094820339,.705323059
100,100,2,.094820339,.324201379
100,100,4,.094820339,.329636981
500,500,1,.059498779,.365127648
500,500,2,.059498779,.364024952
500,500,4,.059498779,.371179525
1000,1000,1,.209294108,.531121220
1000,1000,2,.209294108,.595413397
1000,1000,4,.209294108,.526811391
2000,2000,1,.715702069,2.356414140
2000,2000,2,.715702069,1.385729615
2000,2000,4,.715702069,1.054438089
4000,4000,1,2.692875933,2.353715198
4000,4000,2,2.692875933,1.383467410
4000,4000,4,2.692875933,.422840783
6000,6000,1,5.698620127,2.354623391
6000,6000,2,5.698620127,1.386150077
6000,6000,4,5.698620127,.410287427
8000,8000,1,10.400038095,2.743105429
8000,8000,2,10.400038095,1.378015410
8000,8000,4,10.400038095,.419140742
10000,10000,1,15.811228510,2.757652853
10000,10000,2,15.811228510,1.386225434
10000,10000,4,15.811228510,.423849210
