algo,N,repeat,time_sec
naive,64,1,0.000112529
naive,128,1,0.00184308
naive,256,1,0.0264643
naive,384,1,0.0579887
naive,512,1,0.721272
naive,768,1,0.976557
naive,1024,1,5.96969
naive,2048,1,72.0941
transpose,64,1,0.000100557
transpose,128,1,0.000865224
transpose,256,1,0.0090114
transpose,384,1,0.0327432
transpose,512,1,0.0818874
transpose,768,1,0.283262
transpose,1024,1,0.684958
transpose,2048,1,5.88219
blocked(T=64),64,1,2.5357e-05
blocked(T=64),128,1,0.000246048
blocked(T=64),256,1,0.00206146
blocked(T=64),384,1,0.00727731
blocked(T=64),512,1,0.0208563
blocked(T=64),768,1,0.0666354
blocked(T=64),1024,1,0.178735
blocked(T=64),2048,1,1.49999
strassen(leaf=64),64,1,3.0086e-05
strassen(leaf=64),128,1,0.00056821
strassen(leaf=64),256,1,0.00412193
strassen(leaf=64),384,1,0.0236683
strassen(leaf=64),512,1,0.018525
strassen(leaf=64),768,1,0.150572
strassen(leaf=64),1024,1,0.129323
strassen(leaf=64),2048,1,0.994092
