algo,N,repeat,time_sec
blocked(T=64),2048,1,1.48751
blocked(T=64),2048,2,1.58346
blocked(T=64),2048,3,1.55362
strassen(leaf=64),2048,1,1.27061
strassen(leaf=64),2048,2,0.957202
strassen(leaf=64),2048,3,0.951016
hybrid(strassen+blocked;leaf=128;T=64),2048,1,1.15183
hybrid(strassen+blocked;leaf=128;T=64),2048,2,0.985153
hybrid(strassen+blocked;leaf=128;T=64),2048,3,0.979322
omp_blocked(T=64,p=8),2048,1,0.453271
omp_blocked(T=64,p=8),2048,2,0.439973
omp_blocked(T=64,p=8),2048,3,0.440115
omp_strassen(leaf=64;cut=256;p=8),2048,1,0.63482
omp_strassen(leaf=64;cut=256;p=8),2048,2,0.629683
omp_strassen(leaf=64;cut=256;p=8),2048,3,0.623246
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,1,0.647306
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,2,0.512492
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,3,0.42242
simd_blocked(T=64;W=256),2048,1,2.09595
simd_blocked(T=64;W=256),2048,2,2.07128
simd_blocked(T=64;W=256),2048,3,2.15832
simd_strassen(leaf=64),2048,1,2.70396
simd_strassen(leaf=64),2048,2,1.81794
simd_strassen(leaf=64),2048,3,1.86155
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),2048,1,1.11759
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),2048,2,0.936631
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),2048,3,0.868025
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),2048,1,0.605372
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),2048,2,0.51494
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),2048,3,0.498469
