algo,N,repeat,time_sec
hybrid(strassen+blocked;leaf=128;T=64),32,1,9.017e-06
hybrid(strassen+blocked;leaf=128;T=64),32,2,3.897e-06
hybrid(strassen+blocked;leaf=128;T=64),32,3,3.867e-06
hybrid(strassen+blocked;leaf=128;T=64),64,1,3.6588e-05
hybrid(strassen+blocked;leaf=128;T=64),64,2,2.4917e-05
hybrid(strassen+blocked;leaf=128;T=64),64,3,2.4796e-05
hybrid(strassen+blocked;leaf=128;T=64),128,1,0.000295862
hybrid(strassen+blocked;leaf=128;T=64),128,2,0.000274943
hybrid(strassen+blocked;leaf=128;T=64),128,3,0.000274612
hybrid(strassen+blocked;leaf=128;T=64),256,1,0.00307522
hybrid(strassen+blocked;leaf=128;T=64),256,2,0.00309573
hybrid(strassen+blocked;leaf=128;T=64),256,3,0.00418033
hybrid(strassen+blocked;leaf=128;T=64),512,1,0.0284237
hybrid(strassen+blocked;leaf=128;T=64),512,2,0.0264361
hybrid(strassen+blocked;leaf=128;T=64),512,3,0.0262843
hybrid(strassen+blocked;leaf=128;T=64),1024,1,0.166456
hybrid(strassen+blocked;leaf=128;T=64),1024,2,0.166523
hybrid(strassen+blocked;leaf=128;T=64),1024,3,0.186923
hybrid(strassen+blocked;leaf=128;T=64),2048,1,1.08235
hybrid(strassen+blocked;leaf=128;T=64),2048,2,1.04807
hybrid(strassen+blocked;leaf=128;T=64),2048,3,1.03901
hybrid(strassen+blocked;leaf=128;T=64),4096,1,7.75401
hybrid(strassen+blocked;leaf=128;T=64),4096,2,7.74605
hybrid(strassen+blocked;leaf=128;T=64),4096,3,7.7484
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),32,1,0.000828043
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),32,2,7.013e-06
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),32,3,6.1415e-05
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),64,1,6.0272e-05
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),64,2,3.9834e-05
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),64,3,2.5528e-05
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),128,1,0.000250677
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),128,2,0.000320548
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),128,3,0.000345504
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),256,1,0.00352205
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),256,2,0.00351913
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),256,3,0.00195892
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),512,1,0.0179876
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),512,2,0.015373
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),512,3,0.0142941
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),1024,1,0.0942865
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),1024,2,0.0868491
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),1024,3,0.0778265
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,1,0.50688
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,2,0.458437
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,3,0.403734
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),4096,1,3.29653
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),4096,2,3.40305
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),4096,3,3.39281
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),32,1,9.137e-06
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),32,2,3.166e-06
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),32,3,3.055e-06
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),64,1,3.9494e-05
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),64,2,2.4325e-05
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),64,3,2.3083e-05
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),128,1,0.000162953
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),128,2,0.000162643
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),128,3,0.000169416
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),256,1,0.00234826
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),256,2,0.0022343
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),256,3,0.00228363
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),512,1,0.0223126
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),512,2,0.0222358
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),512,3,0.0224388
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),1024,1,0.140538
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),1024,2,0.139547
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),1024,3,0.139942
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),2048,1,0.89213
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),2048,2,0.88205
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),2048,3,0.880958
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),4096,1,6.55965
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),4096,2,6.47234
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),4096,3,6.49434
