algo,N,repeat,time_sec
omp_blocked(T=64;p=8),32,1,0.00144205
omp_blocked(T=64;p=8),32,2,7.715e-06
omp_blocked(T=64;p=8),32,3,7.103e-06
omp_blocked(T=64;p=8),64,1,3.9504e-05
omp_blocked(T=64;p=8),64,2,3.9484e-05
omp_blocked(T=64;p=8),64,3,3.9363e-05
omp_blocked(T=64;p=8),128,1,0.000256418
omp_blocked(T=64;p=8),128,2,0.000221684
omp_blocked(T=64;p=8),128,3,0.000164927
omp_blocked(T=64;p=8),256,1,0.000549815
omp_blocked(T=64;p=8),256,2,0.00054183
omp_blocked(T=64;p=8),256,3,0.000543533
omp_blocked(T=64;p=8),512,1,0.00531908
omp_blocked(T=64;p=8),512,2,0.00545628
omp_blocked(T=64;p=8),512,3,0.00623409
omp_blocked(T=64;p=8),1024,1,0.0551051
omp_blocked(T=64;p=8),1024,2,0.0524446
omp_blocked(T=64;p=8),1024,3,0.0484454
omp_blocked(T=64;p=8),2048,1,0.433787
omp_blocked(T=64;p=8),2048,2,0.434419
omp_blocked(T=64;p=8),2048,3,0.426338
omp_blocked(T=64;p=8),4096,1,4.05974
omp_blocked(T=64;p=8),4096,2,4.73442
omp_blocked(T=64;p=8),4096,3,5.04653
omp_strassen(leaf=64;cut=256;p=8),32,1,0.000543714
omp_strassen(leaf=64;cut=256;p=8),32,2,7.404e-06
omp_strassen(leaf=64;cut=256;p=8),32,3,6.212e-06
omp_strassen(leaf=64;cut=256;p=8),64,1,3.1008e-05
omp_strassen(leaf=64;cut=256;p=8),64,2,3.0927e-05
omp_strassen(leaf=64;cut=256;p=8),64,3,3.0637e-05
omp_strassen(leaf=64;cut=256;p=8),128,1,0.0011956
omp_strassen(leaf=64;cut=256;p=8),128,2,0.00100991
omp_strassen(leaf=64;cut=256;p=8),128,3,0.00108775
omp_strassen(leaf=64;cut=256;p=8),256,1,0.0116813
omp_strassen(leaf=64;cut=256;p=8),256,2,0.00821444
omp_strassen(leaf=64;cut=256;p=8),256,3,0.00942324
omp_strassen(leaf=64;cut=256;p=8),512,1,0.0267963
omp_strassen(leaf=64;cut=256;p=8),512,2,0.0262969
omp_strassen(leaf=64;cut=256;p=8),512,3,0.0273295
omp_strassen(leaf=64;cut=256;p=8),1024,1,0.129823
omp_strassen(leaf=64;cut=256;p=8),1024,2,0.142642
omp_strassen(leaf=64;cut=256;p=8),1024,3,0.129426
omp_strassen(leaf=64;cut=256;p=8),2048,1,0.657255
omp_strassen(leaf=64;cut=256;p=8),2048,2,0.613422
omp_strassen(leaf=64;cut=256;p=8),2048,3,0.572433
omp_strassen(leaf=64;cut=256;p=8),4096,1,4.62715
omp_strassen(leaf=64;cut=256;p=8),4096,2,4.12846
omp_strassen(leaf=64;cut=256;p=8),4096,3,4.1112
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),32,1,0.000385038
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),32,2,5.1757e-05
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),32,3,2.8202e-05
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),64,1,0.000109724
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),64,2,5.2238e-05
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),64,3,5.4181e-05
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),128,1,0.000356886
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),128,2,0.000283248
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),128,3,0.000303045
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),256,1,0.00364882
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),256,2,0.00194909
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),256,3,0.00435681
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),512,1,0.0190245
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),512,2,0.0171866
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),512,3,0.0179593
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),1024,1,0.109137
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),1024,2,0.0993556
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),1024,3,0.098977
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,1,0.599648
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,2,0.511107
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,3,0.538292
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),4096,1,3.57393
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),4096,2,3.73588
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),4096,3,3.43287
