algo,N,repeat,time_sec
naive,32,1,1.2594e-05
naive,32,2,1.2473e-05
naive,32,3,1.2364e-05
naive,64,1,0.000130303
naive,64,2,0.00013905
naive,64,3,0.000132898
naive,128,1,0.00222083
naive,128,2,0.00236921
naive,128,3,0.00226968
naive,256,1,0.0352882
naive,256,2,0.0320972
naive,256,3,0.0336923
naive,512,1,0.799994
naive,512,2,0.747205
naive,512,3,0.721606
naive,1024,1,6.28175
naive,1024,2,6.32638
naive,1024,3,6.3084
naive,2048,1,51.7746
naive,2048,2,51.9059
naive,2048,3,51.5772
transpose,32,1,9.758e-06
transpose,32,2,9.678e-06
transpose,32,3,9.628e-06
transpose,64,1,0.000100868
transpose,64,2,0.000105938
transpose,64,3,0.000100958
transpose,128,1,0.000861107
transpose,128,2,0.000861177
transpose,128,3,0.000865865
transpose,256,1,0.0103797
transpose,256,2,0.00916002
transpose,256,3,0.00902362
transpose,512,1,0.0851759
transpose,512,2,0.0845239
transpose,512,3,0.0841475
transpose,1024,1,0.694567
transpose,1024,2,0.692535
transpose,1024,3,0.694308
transpose,2048,1,6.00426
transpose,2048,2,6.0015
transpose,2048,3,6.28585
blocked(T=64),32,1,3.927e-06
blocked(T=64),32,2,3.677e-06
blocked(T=64),32,3,3.697e-06
blocked(T=64),64,1,2.6279e-05
blocked(T=64),64,2,2.707e-05
blocked(T=64),64,3,2.668e-05
blocked(T=64),128,1,0.000260897
blocked(T=64),128,2,0.000256138
blocked(T=64),128,3,0.000255096
blocked(T=64),256,1,0.00304003
blocked(T=64),256,2,0.00212543
blocked(T=64),256,3,0.00219562
blocked(T=64),512,1,0.024229
blocked(T=64),512,2,0.0254006
blocked(T=64),512,3,0.0281567
blocked(T=64),1024,1,0.20951
blocked(T=64),1024,2,0.223044
blocked(T=64),1024,3,0.222878
blocked(T=64),2048,1,1.9747
blocked(T=64),2048,2,1.9188
blocked(T=64),2048,3,1.91909
strassen(leaf=64),32,1,4.298e-06
strassen(leaf=64),32,2,4.078e-06
strassen(leaf=64),32,3,4.028e-06
strassen(leaf=64),64,1,2.7892e-05
strassen(leaf=64),64,2,2.7872e-05
strassen(leaf=64),64,3,2.7852e-05
strassen(leaf=64),128,1,0.000591384
strassen(leaf=64),128,2,0.000492889
strassen(leaf=64),128,3,0.00050388
strassen(leaf=64),256,1,0.00432093
strassen(leaf=64),256,2,0.00476705
strassen(leaf=64),256,3,0.0043193
strassen(leaf=64),512,1,0.0270686
strassen(leaf=64),512,2,0.0291531
strassen(leaf=64),512,3,0.0290776
strassen(leaf=64),1024,1,0.176194
strassen(leaf=64),1024,2,0.172825
strassen(leaf=64),1024,3,0.172713
strassen(leaf=64),2048,1,1.11602
strassen(leaf=64),2048,2,1.1141
strassen(leaf=64),2048,3,1.09774
hybrid(strassen+blocked;leaf=128;T=64),32,1,1.0199e-05
hybrid(strassen+blocked;leaf=128;T=64),32,2,3.998e-06
hybrid(strassen+blocked;leaf=128;T=64),32,3,3.937e-06
hybrid(strassen+blocked;leaf=128;T=64),64,1,4.0625e-05
hybrid(strassen+blocked;leaf=128;T=64),64,2,2.5658e-05
hybrid(strassen+blocked;leaf=128;T=64),64,3,2.5608e-05
hybrid(strassen+blocked;leaf=128;T=64),128,1,0.000248103
hybrid(strassen+blocked;leaf=128;T=64),128,2,0.000250597
hybrid(strassen+blocked;leaf=128;T=64),128,3,0.000253713
hybrid(strassen+blocked;leaf=128;T=64),256,1,0.00301938
hybrid(strassen+blocked;leaf=128;T=64),256,2,0.00302592
hybrid(strassen+blocked;leaf=128;T=64),256,3,0.00298293
hybrid(strassen+blocked;leaf=128;T=64),512,1,0.0257948
hybrid(strassen+blocked;leaf=128;T=64),512,2,0.027197
hybrid(strassen+blocked;leaf=128;T=64),512,3,0.0277407
hybrid(strassen+blocked;leaf=128;T=64),1024,1,0.166261
hybrid(strassen+blocked;leaf=128;T=64),1024,2,0.164705
hybrid(strassen+blocked;leaf=128;T=64),1024,3,0.165006
hybrid(strassen+blocked;leaf=128;T=64),2048,1,1.07774
hybrid(strassen+blocked;leaf=128;T=64),2048,2,1.05646
hybrid(strassen+blocked;leaf=128;T=64),2048,3,1.05113
