algo,N,repeat,time_sec
simd_blocked(T=64;W=256),32,1,5.38e-06
simd_blocked(T=64;W=256),32,2,5.22e-06
simd_blocked(T=64;W=256),32,3,5.25e-06
simd_blocked(T=64;W=256),64,1,3.4514e-05
simd_blocked(T=64;W=256),64,2,3.4324e-05
simd_blocked(T=64;W=256),64,3,3.4335e-05
simd_blocked(T=64;W=256),128,1,0.000389858
simd_blocked(T=64;W=256),128,2,0.000380921
simd_blocked(T=64;W=256),128,3,0.000376603
simd_blocked(T=64;W=256),256,1,0.00322744
simd_blocked(T=64;W=256),256,2,0.00350267
simd_blocked(T=64;W=256),256,3,0.0040858
simd_blocked(T=64;W=256),512,1,0.0330022
simd_blocked(T=64;W=256),512,2,0.0326468
simd_blocked(T=64;W=256),512,3,0.0326542
simd_blocked(T=64;W=256),1024,1,0.256869
simd_blocked(T=64;W=256),1024,2,0.267454
simd_blocked(T=64;W=256),1024,3,0.268537
simd_blocked(T=64;W=256),2048,1,2.12032
simd_blocked(T=64;W=256),2048,2,2.13161
simd_blocked(T=64;W=256),2048,3,2.08116
simd_blocked(T=64;W=256),4096,1,16.7713
simd_blocked(T=64;W=256),4096,2,16.322
simd_blocked(T=64;W=256),4096,3,16.8242
simd_strassen(leaf=64),32,1,5.62e-06
simd_strassen(leaf=64),32,2,5.47e-06
simd_strassen(leaf=64),32,3,5.32e-06
simd_strassen(leaf=64),64,1,3.777e-05
simd_strassen(leaf=64),64,2,3.7731e-05
simd_strassen(leaf=64),64,3,3.77e-05
simd_strassen(leaf=64),128,1,0.000904247
simd_strassen(leaf=64),128,2,0.000767622
simd_strassen(leaf=64),128,3,0.000805934
simd_strassen(leaf=64),256,1,0.00733735
simd_strassen(leaf=64),256,2,0.00705099
simd_strassen(leaf=64),256,3,0.00707579
simd_strassen(leaf=64),512,1,0.0459858
simd_strassen(leaf=64),512,2,0.0452261
simd_strassen(leaf=64),512,3,0.0456573
simd_strassen(leaf=64),1024,1,0.332461
simd_strassen(leaf=64),1024,2,0.326905
simd_strassen(leaf=64),1024,3,0.328363
simd_strassen(leaf=64),2048,1,1.87355
simd_strassen(leaf=64),2048,2,1.87591
simd_strassen(leaf=64),2048,3,1.89691
simd_strassen(leaf=64),4096,1,13.9069
simd_strassen(leaf=64),4096,2,14.4351
simd_strassen(leaf=64),4096,3,14.7567
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),32,1,8.145e-06
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),32,2,2.755e-06
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),32,3,2.685e-06
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),64,1,3.218e-05
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),64,2,2.0759e-05
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),64,3,2.0829e-05
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),128,1,0.000148057
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),128,2,0.000147896
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),128,3,0.000150371
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),256,1,0.00232334
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),256,2,0.00231148
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),256,3,0.00234739
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),512,1,0.0222895
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),512,2,0.021718
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),512,3,0.0217439
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),1024,1,0.145247
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),1024,2,0.162174
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),1024,3,0.142755
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),2048,1,0.87947
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),2048,2,0.878871
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),2048,3,0.864897
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),4096,1,7.06113
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),4096,2,7.23528
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),4096,3,7.40156
