algo,N,repeat,time_sec
blocked(T=64),2048,1,1.69765
blocked(T=64),2048,2,1.73196
blocked(T=64),2048,3,1.75586
strassen(leaf=64),2048,1,1.43936
strassen(leaf=64),2048,2,1.1425
strassen(leaf=64),2048,3,1.16292
hybrid(strassen+blocked;leaf=128;T=64),2048,1,1.40548
hybrid(strassen+blocked;leaf=128;T=64),2048,2,1.14327
hybrid(strassen+blocked;leaf=128;T=64),2048,3,1.21872
omp_blocked(T=64;p=8),2048,1,0.457246
omp_blocked(T=64;p=8),2048,2,0.478321
omp_blocked(T=64;p=8),2048,3,0.46809
omp_strassen(leaf=64;cut=256;p=8),2048,1,0.772909
omp_strassen(leaf=64;cut=256;p=8),2048,2,0.621855
omp_strassen(leaf=64;cut=256;p=8),2048,3,0.525203
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,1,0.657311
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,2,0.526076
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,3,0.419431
simd_blocked(T=64;W=256),2048,1,2.3315
simd_blocked(T=64;W=256),2048,2,2.28798
simd_blocked(T=64;W=256),2048,3,2.32663
simd_strassen(leaf=64),2048,1,2.8015
simd_strassen(leaf=64),2048,2,2.0314
simd_strassen(leaf=64),2048,3,2.04047
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),2048,1,1.23667
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),2048,2,0.963179
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),2048,3,0.970192
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),2048,1,0.627359
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),2048,2,0.49563
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),2048,3,0.405427
