algo,N,repeat,time_sec
hybrid(strassen+blocked;leaf=128;T=64),64,1,4.5936e-05
hybrid(strassen+blocked;leaf=128;T=64),128,1,0.000256608
hybrid(strassen+blocked;leaf=128;T=64),256,1,0.00295466
hybrid(strassen+blocked;leaf=128;T=64),512,1,0.0291368
hybrid(strassen+blocked;leaf=128;T=64),1024,1,0.16254
hybrid(strassen+blocked;leaf=128;T=64),2048,1,1.09686
hybrid(strassen+blocked;leaf=128;T=64),4096,1,7.92618
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),64,1,0.000839774
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),128,1,0.000340163
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),256,1,0.00418331
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),512,1,0.0177111
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),1024,1,0.0938007
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,1,0.513551
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),4096,1,3.36639
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),64,1,3.6007e-05
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),128,1,0.000156792
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),256,1,0.00227699
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),512,1,0.0198083
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),1024,1,0.131282
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),2048,1,0.856344
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),4096,1,6.48433
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),64,1,0.000409804
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),128,1,0.000197237
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),256,1,0.00373723
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),512,1,0.0163364
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),1024,1,0.0871884
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),2048,1,0.506158
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),4096,1,3.2407
