algo,N,repeat,time_sec
omp_blocked(T=64;p=8),64,1,0.000582356
omp_blocked(T=64;p=8),64,2,8.8435e-05
omp_blocked(T=64;p=8),64,3,8.7664e-05
omp_blocked(T=64;p=8),128,1,0.000260265
omp_blocked(T=64;p=8),128,2,0.000260306
omp_blocked(T=64;p=8),128,3,0.000256979
omp_blocked(T=64;p=8),256,1,0.000822804
omp_blocked(T=64;p=8),256,2,0.000792728
omp_blocked(T=64;p=8),256,3,0.000787188
omp_blocked(T=64;p=8),384,1,0.00291404
omp_blocked(T=64;p=8),384,2,0.00287628
omp_blocked(T=64;p=8),384,3,0.00274215
omp_blocked(T=64;p=8),512,1,0.00678303
omp_blocked(T=64;p=8),512,2,0.00679895
omp_blocked(T=64;p=8),512,3,0.00738389
omp_blocked(T=64;p=8),768,1,0.0216439
omp_blocked(T=64;p=8),768,2,0.0217215
omp_blocked(T=64;p=8),768,3,0.0199984
omp_blocked(T=64;p=8),1024,1,0.0527722
omp_blocked(T=64;p=8),1024,2,0.0543161
omp_blocked(T=64;p=8),1024,3,0.0559616
omp_blocked(T=64;p=8),2048,1,0.425972
omp_blocked(T=64;p=8),2048,2,0.431259
omp_blocked(T=64;p=8),2048,3,0.465886
omp_blocked(T=64;p=8),4096,1,3.87235
omp_blocked(T=64;p=8),4096,2,3.85607
omp_blocked(T=64;p=8),4096,3,3.89671
omp_strassen(leaf=64;cut=256;p=8),64,1,0.00133837
omp_strassen(leaf=64;cut=256;p=8),64,2,4.4653e-05
omp_strassen(leaf=64;cut=256;p=8),64,3,4.0616e-05
omp_strassen(leaf=64;cut=256;p=8),128,1,0.000837321
omp_strassen(leaf=64;cut=256;p=8),128,2,0.0007351
omp_strassen(leaf=64;cut=256;p=8),128,3,0.000802275
omp_strassen(leaf=64;cut=256;p=8),256,1,0.00513583
omp_strassen(leaf=64;cut=256;p=8),256,2,0.00234013
omp_strassen(leaf=64;cut=256;p=8),256,3,0.00527406
omp_strassen(leaf=64;cut=256;p=8),384,1,0.0222534
omp_strassen(leaf=64;cut=256;p=8),384,2,0.0205925
omp_strassen(leaf=64;cut=256;p=8),384,3,0.0207856
omp_strassen(leaf=64;cut=256;p=8),512,1,0.0192064
omp_strassen(leaf=64;cut=256;p=8),512,2,0.0179121
omp_strassen(leaf=64;cut=256;p=8),512,3,0.0169665
omp_strassen(leaf=64;cut=256;p=8),768,1,0.118299
omp_strassen(leaf=64;cut=256;p=8),768,2,0.106589
omp_strassen(leaf=64;cut=256;p=8),768,3,0.109086
omp_strassen(leaf=64;cut=256;p=8),1024,1,0.115347
omp_strassen(leaf=64;cut=256;p=8),1024,2,0.105403
omp_strassen(leaf=64;cut=256;p=8),1024,3,0.081895
omp_strassen(leaf=64;cut=256;p=8),2048,1,0.707198
omp_strassen(leaf=64;cut=256;p=8),2048,2,0.648487
omp_strassen(leaf=64;cut=256;p=8),2048,3,0.675932
omp_strassen(leaf=64;cut=256;p=8),4096,1,5.18235
omp_strassen(leaf=64;cut=256;p=8),4096,2,4.06188
omp_strassen(leaf=64;cut=256;p=8),4096,3,4.66142
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),64,1,0.000470748
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),64,2,0.000119032
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),64,3,4.5595e-05
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),128,1,0.000275353
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),128,2,0.00028988
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),128,3,0.000290332
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),256,1,0.00352648
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),256,2,0.00430008
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),256,3,0.00371725
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),384,1,0.0186296
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),384,2,0.0147183
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),384,3,0.0185274
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),512,1,0.0186059
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),512,2,0.0142173
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),512,3,0.0145023
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),768,1,0.0914231
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),768,2,0.0833392
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),768,3,0.0706185
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),1024,1,0.0927254
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),1024,2,0.0677737
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),1024,3,0.0634919
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,1,0.558393
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,2,0.512218
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),2048,3,0.425942
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),4096,1,3.53935
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),4096,2,3.65203
omp_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8),4096,3,3.57692
