algo,N,repeat,time_sec
simd_blocked(T=64;W=256),64,1,3.2621e-05
simd_blocked(T=64;W=256),64,2,3.232e-05
simd_blocked(T=64;W=256),64,3,3.222e-05
simd_blocked(T=64;W=256),128,1,0.000360322
simd_blocked(T=64;W=256),128,2,0.000361504
simd_blocked(T=64;W=256),128,3,0.000726244
simd_blocked(T=64;W=256),256,1,0.00293376
simd_blocked(T=64;W=256),256,2,0.00362976
simd_blocked(T=64;W=256),256,3,0.00341445
simd_blocked(T=64;W=256),384,1,0.0109331
simd_blocked(T=64;W=256),384,2,0.0105073
simd_blocked(T=64;W=256),384,3,0.0107834
simd_blocked(T=64;W=256),512,1,0.0275432
simd_blocked(T=64;W=256),512,2,0.0274056
simd_blocked(T=64;W=256),512,3,0.0274153
simd_blocked(T=64;W=256),768,1,0.0873794
simd_blocked(T=64;W=256),768,2,0.0876821
simd_blocked(T=64;W=256),768,3,0.0867597
simd_blocked(T=64;W=256),1024,1,0.216262
simd_blocked(T=64;W=256),1024,2,0.219405
simd_blocked(T=64;W=256),1024,3,0.219325
simd_blocked(T=64;W=256),1536,1,0.733136
simd_blocked(T=64;W=256),1536,2,0.727045
simd_blocked(T=64;W=256),1536,3,0.729275
simd_blocked(T=64;W=256),2048,1,1.73863
simd_blocked(T=64;W=256),2048,2,1.7484
simd_blocked(T=64;W=256),2048,3,1.7479
simd_blocked(T=64;W=256),3072,1,5.93711
simd_blocked(T=64;W=256),3072,2,5.92849
simd_blocked(T=64;W=256),3072,3,5.93027
simd_blocked(T=64;W=256),4096,1,14.3003
simd_blocked(T=64;W=256),4096,2,14.4765
simd_blocked(T=64;W=256),4096,3,14.6039
simd_strassen(leaf=64),64,1,6.5532e-05
simd_strassen(leaf=64),64,2,6.6985e-05
simd_strassen(leaf=64),64,3,6.6404e-05
simd_strassen(leaf=64),128,1,0.00121533
simd_strassen(leaf=64),128,2,0.00100668
simd_strassen(leaf=64),128,3,0.000839715
simd_strassen(leaf=64),256,1,0.00752728
simd_strassen(leaf=64),256,2,0.00792145
simd_strassen(leaf=64),256,3,0.00804224
simd_strassen(leaf=64),384,1,0.0477782
simd_strassen(leaf=64),384,2,0.0462444
simd_strassen(leaf=64),384,3,0.045945
simd_strassen(leaf=64),512,1,0.0542125
simd_strassen(leaf=64),512,2,0.0468199
simd_strassen(leaf=64),512,3,0.0451005
simd_strassen(leaf=64),768,1,0.338202
simd_strassen(leaf=64),768,2,0.323386
simd_strassen(leaf=64),768,3,0.3042
simd_strassen(leaf=64),1024,1,0.236785
simd_strassen(leaf=64),1024,2,0.235978
simd_strassen(leaf=64),1024,3,0.235107
simd_strassen(leaf=64),1536,1,1.82718
simd_strassen(leaf=64),1536,2,1.87307
simd_strassen(leaf=64),1536,3,1.81124
simd_strassen(leaf=64),2048,1,1.53195
simd_strassen(leaf=64),2048,2,1.55358
simd_strassen(leaf=64),2048,3,1.55785
simd_strassen(leaf=64),3072,1,11.2125
simd_strassen(leaf=64),3072,2,11.0296
simd_strassen(leaf=64),3072,3,11.0325
simd_strassen(leaf=64),4096,1,11.1768
