algo,N,p,repeat,time_sec
etalon_seq,2000,1,1,0.041909
etalon_seq,2000,1,2,0.030024
etalon_seq,2000,1,3,0.029540
etalon_seq,2000,1,4,0.029459
etalon_seq,2000,1,5,0.029449
etalon_seq,2000,1,6,0.029518
etalon_seq,2000,1,7,0.029395
etalon_seq,2000,1,8,0.029452
etalon_seq,2000,1,9,0.029447
etalon_seq,2000,1,10,0.029491
etalon_omp,2000,1,1,0.030317
etalon_omp,2000,1,2,0.030107
etalon_omp,2000,1,3,0.030165
etalon_omp,2000,1,4,0.030138
etalon_omp,2000,1,5,0.030133
etalon_omp,2000,1,6,0.030264
etalon_omp,2000,1,7,0.030222
etalon_omp,2000,1,8,0.030141
etalon_omp,2000,1,9,0.030158
etalon_omp,2000,1,10,0.030210
etalon_omp,2000,2,1,0.016794
etalon_omp,2000,2,2,0.016884
etalon_omp,2000,2,3,0.016517
etalon_omp,2000,2,4,0.016978
etalon_omp,2000,2,5,0.017299
etalon_omp,2000,2,6,0.017027
etalon_omp,2000,2,7,0.018289
etalon_omp,2000,2,8,0.016421
etalon_omp,2000,2,9,0.017767
etalon_omp,2000,2,10,0.015988
etalon_omp,2000,3,1,0.011227
etalon_omp,2000,3,2,0.011622
etalon_omp,2000,3,3,0.011573
etalon_omp,2000,3,4,0.011344
etalon_omp,2000,3,5,0.011269
etalon_omp,2000,3,6,0.011309
etalon_omp,2000,3,7,0.011104
etalon_omp,2000,3,8,0.011282
etalon_omp,2000,3,9,0.011912
etalon_omp,2000,3,10,0.011624
etalon_omp,2000,4,1,0.009050
etalon_omp,2000,4,2,0.009029
etalon_omp,2000,4,3,0.008844
etalon_omp,2000,4,4,0.009005
etalon_omp,2000,4,5,0.008858
etalon_omp,2000,4,6,0.008324
etalon_omp,2000,4,7,0.008579
etalon_omp,2000,4,8,0.009532
etalon_omp,2000,4,9,0.008932
etalon_omp,2000,4,10,0.009365
etalon_omp,2000,6,1,0.005910
etalon_omp,2000,6,2,0.005946
etalon_omp,2000,6,3,0.006497
etalon_omp,2000,6,4,0.008659
etalon_omp,2000,6,5,0.006480
etalon_omp,2000,6,6,0.006299
etalon_omp,2000,6,7,0.005954
etalon_omp,2000,6,8,0.006255
etalon_omp,2000,6,9,0.008496
etalon_omp,2000,6,10,0.005906
etalon_omp,2000,8,1,0.006790
etalon_omp,2000,8,2,0.006718
etalon_omp,2000,8,3,0.007300
etalon_omp,2000,8,4,0.006853
etalon_omp,2000,8,5,0.007085
etalon_omp,2000,8,6,0.006855
etalon_omp,2000,8,7,0.006985
etalon_omp,2000,8,8,0.006745
etalon_omp,2000,8,9,0.007159
etalon_omp,2000,8,10,0.006548
etalon_omp,2000,12,1,0.005105
etalon_omp,2000,12,2,0.011312
etalon_omp,2000,12,3,0.005066
etalon_omp,2000,12,4,0.011012
etalon_omp,2000,12,5,0.014136
etalon_omp,2000,12,6,0.005193
etalon_omp,2000,12,7,0.005243
etalon_omp,2000,12,8,0.011470
etalon_omp,2000,12,9,0.011565
etalon_omp,2000,12,10,0.005381
var2zh_seq,2000,1,1,0.041989
var2zh_seq,2000,1,2,0.030923
var2zh_seq,2000,1,3,0.030405
var2zh_seq,2000,1,4,0.031006
var2zh_seq,2000,1,5,0.030033
var2zh_seq,2000,1,6,0.030572
var2zh_seq,2000,1,7,0.030259
var2zh_seq,2000,1,8,0.030466
var2zh_seq,2000,1,9,0.030579
var2zh_seq,2000,1,10,0.030443
var2zh_omp,2000,1,1,0.029731
var2zh_omp,2000,1,2,0.030165
var2zh_omp,2000,1,3,0.029882
var2zh_omp,2000,1,4,0.029954
var2zh_omp,2000,1,5,0.030581
var2zh_omp,2000,1,6,0.030310
var2zh_omp,2000,1,7,0.029915
var2zh_omp,2000,1,8,0.030135
var2zh_omp,2000,1,9,0.030258
var2zh_omp,2000,1,10,0.030699
var2zh_omp,2000,2,1,0.016427
var2zh_omp,2000,2,2,0.016518
var2zh_omp,2000,2,3,0.017510
var2zh_omp,2000,2,4,0.015825
var2zh_omp,2000,2,5,0.016416
var2zh_omp,2000,2,6,0.016768
var2zh_omp,2000,2,7,0.016701
var2zh_omp,2000,2,8,0.015777
var2zh_omp,2000,2,9,0.016117
var2zh_omp,2000,2,10,0.016056
var2zh_omp,2000,3,1,0.010912
var2zh_omp,2000,3,2,0.011566
var2zh_omp,2000,3,3,0.011737
var2zh_omp,2000,3,4,0.011639
var2zh_omp,2000,3,5,0.011658
var2zh_omp,2000,3,6,0.010919
var2zh_omp,2000,3,7,0.011398
var2zh_omp,2000,3,8,0.011150
var2zh_omp,2000,3,9,0.011307
var2zh_omp,2000,3,10,0.011040
var2zh_omp,2000,4,1,0.008409
var2zh_omp,2000,4,2,0.008424
var2zh_omp,2000,4,3,0.008764
var2zh_omp,2000,4,4,0.009475
var2zh_omp,2000,4,5,0.008257
var2zh_omp,2000,4,6,0.009030
var2zh_omp,2000,4,7,0.008281
var2zh_omp,2000,4,8,0.008857
var2zh_omp,2000,4,9,0.009139
var2zh_omp,2000,4,10,0.008525
var2zh_omp,2000,6,1,0.005777
var2zh_omp,2000,6,2,0.006445
var2zh_omp,2000,6,3,0.005688
var2zh_omp,2000,6,4,0.005640
var2zh_omp,2000,6,5,0.006332
var2zh_omp,2000,6,6,0.005878
var2zh_omp,2000,6,7,0.005720
var2zh_omp,2000,6,8,0.006027
var2zh_omp,2000,6,9,0.005670
var2zh_omp,2000,6,10,0.006220
var2zh_omp,2000,8,1,0.007220
var2zh_omp,2000,8,2,0.006748
var2zh_omp,2000,8,3,0.007073
var2zh_omp,2000,8,4,0.007021
var2zh_omp,2000,8,5,0.006814
